"{I}r	ir
"{W}az	waz
zubroſten	zuobrosten
zucchen	zücken
zucchenne	zückenne
zucchet	zücket
zuch	ziuch
zuche	zücke
zuchen	zücken
zuchender	zückenter
zuchent	zückent
zuchente	zückenter
zuchet	zücket
zuchē	zücken
zuchint	zückent
zucht	zuht
zuchte	zuhte
zuchteclichen	zühticlîchen
zuchtegen	zühtigen
zuchteliche	zuhtlîche
zuchtelichē	zuhtlîchen
zuchten	zühten
zuchtē	zühten
zuchtic	zühtic
zuchtigen	zühtigen
zuchtigete	zühtigete
zuchtigin	zühtigen
zuchtigirn	zühtigern
zuchtin	[!!]
zuchtliche	zuhtlîche
zuchtlichin	zuhtlîchen
zuchtín	zühten
zuchumelīc	zuokümelinc
zuchumpft	zuokumft
zuch⸗⸗tigen	zühtigen
zuckede	zückete
zucken	zücken
zuckende	zückende
zuckerſ	zuckers
zucket	zücket
zuckete	zückete
zuckig	zückic
zuckit	zücket
zuclaup	zuokloup
zucomeling	zuokomelinc
zuct	zukte
zucte	zukte
zucten	zukten
zucumelich	zuokömelinc
zucunftige	zuokünftige
zucz	[!!]
zudenen	zuodene
zue	zwei
zueGinGe	zweiinge
zuechvͦnft	[!!]
zuegir	zweier
zuegíngen	zweiingen
zuei	zwei
zueier	zweier
zueigen	zweien
zueig͛	zweier
zueiinge	zweiinge
zueilf	zweliv
zuein	zwein
zueincig	zweinzic
zueinde	zweinde
zueine	zwêne
zueinge	zweiinge
zueinzich	zweinzic
zueinzig	zweinzic
zueinzigiſtem	zweinzigestem
zueiueldich	zweiveltic
zueiueldige	zweivaltige
zueiunge	zweiunge
zueiūge	zweiunge
zueiveldiger	zweivaltiger
zueivnge	zweiunge
zuelefpoten	zwelivboten
zueleue	zwelive
zuelevin	zweliven
zuelf	zweliv
zuelfe	zwelive
zuelfen	zweliven
zuelff	zwelif
zuelffboden	zwelivboten
zuelfte	zwelifte
zuelftem	zweliftem
zuelif	zwelif
zuelife	zwelive
zueliph	zwelif
zuelph	zwelif
zuelue	zwelive
zueluepoten	zwelivboten
zuen	zwêne
zuene	zwêne
zueni	zwêne
zuenzech	zweinzic
zuenzegen	zweinzigen
zuenzegſteme	zweinzigesteme
zuenzich	zweinzic
zuenzichteme	zweinzigteme
zuenzichtē	zweinzigten
zuenzig	zweinzic
zuení	zwêne
zuet	ziuhet
zueueltliche	zweiveltlîche
zueuieldige	zweivaltige
zueunge	zweiunge
zuey	zwei
zueynzig	zweinzic
zueyvnge	zweiunge
zueí	zwei
zueín	zwein
zueíní	zwêne
zueír	zweier
zueíueldigeme	zweiveltigeme
zueî	zwei
zueýn	zwein
zueſiwen	zesewen
zueſuwē	zeswen
zuē	zwein
zuflucht	zuovluht
zufluht	zuovluht
zufuret	zuovüeret
zug	zuc
zuganc	zuoganc
zugde	zukte
zuge	züge
zugel	zügel
zugengelich	zuoganclich
zugeniſſe	zuogencnisse
zugent	zuogênt
zugenwerdic	zuogênwertic
zuget	zöuget
zugeít	zuogeit
zugē	zugen
zugi	züge
zugit	ziuhet
zugiſ	züges
zugín	zugen
zugít	ziuget
zuh	ziuch
zuhant	zuohant
zuhāt	zehant
zuhet	ziuhet
zuheſt	zückest
zuhit	ziuhet
zuhowen	zuohouwen
zuhte	zühte
zuhtechlichen	zühticlîchen
zuhteclichen	zühticlîchen
zuhtege	zühtige
zuhtegunge	zühtigunge
zuhteklich	zühticlich
zuhtekliche	zühticlîche
zuhteklichen	zühticlîchen
zuhteklicher	zühticlîcher
zuhten	zühten
zuhteſ	zuhtes
zuhtē	zühten
zuhtic	zühtic
zuhtich	zühtic
zuhticlich	zühticlîche
zuhtigen	zühtigen
zuhtiget	zühtigete
zuhtigit	zühtiget
zuhtigoten	zühtigeten
zuhti⸗gen	zühtigen
zuhtlichen	zuhtlîchen
zuhtlieh	zuhtlîche
zuhtígin	zühtigen
zuh⸗ten	zuhten
zuich	zwîc
zuieinge	zwîinge
zuienueldich	zweivaltic
zuifel	zwîvel
zuinta	zunte
zuir	zwire
zuire	zwire
zuirent	zwirent
zuirote	zwirete
zuit	ziuhet
zuiualt	zwivalt
zuiualtic	zwivaltic
zuiuel	zwîvel
zuiuelde	zwîvelte
zuiueldich	zwivaltic
zuiuele	zwîvele
zuiuelen	zwîvelen
zuiueliche	zwîvellîche
zuiuelichen	zwîvellîchen
zuiuelote	zwîvelete
zuiuil	zwîvel
zuiuile	zwîvele
zuiuilichen	zwîvellîchen
zuiuilo	zwîvele
zuiuilotin	zwîveleten
zuiuilunge	zwîvelunge
zuivel	zwîvel
zuivelicher	zwîvellîcher
zuivelote	zwîvelete
zuiwir	zwîer
zuiwurft	zwiwurft
zuizliche	zwizlîche
zuiſchiligi	zwischelige
zuiſch⸗iligu	zwischeligiu
zuiſk	zwisch
zuiſken	zwischen
zuiſlen	zwiselen
zuiſt	zwist
zuiſſen	zwischen
zuiſ⸗chen	zwischen
zuket	[!!]
zukken	zücken
zuknuſunge	zerknüsunge
zukumftich	zuokümftic
zukunde	urkünde
zukunft	zuokunft
zukunftige	zuokümftige
zukunftigē	zuokünftigen
zuleſt	zeleste
zulpeche	Zülpiche
zum	[!!]
zumal	[!!]
zumale	zuomâle
zun	zûn
zuname	[!!]
zunden	zünden
zundet	zündet
zundeſt	zündest
zune	zûne
zunemunge	zuonemunge
zung	zunge
zunga	zunge
zungelers	züngelærs
zungeuoller	zungevoller
zungē	zungen
zungin	zungen
zungini	zunge
zungon	zungen
zungun	zungen
zungū	zungen
zungvn	zungen
zungv̄	zungen
zunrnen	zürnen
zuns	zinses
zunte	zunde
zuntet	zündet
zunteſal	zündesal
zuntte	zunde
zuntten	zunden
zunuwen	zuonûwen
zun⸗ge	zunge
zun⸗ten	zunten
zun⸗⸗ge	zunge
zuoch	zôch
zuochomelinge	zuokömelinge
zuochumft	zuokunft
zuofluht	zuovluht
zuohte	zuhte
zuoilften	zweliften
zuolf	zweliv
zuolfen	zweliften
zuolftimme	zwelifteme
zuomuoſe	zuomüese
zuouerſiht	zuoversiht
zuoz	zuoze
zuoſih	zuoversiht
zuoſpilunga	zuospilunge
zuoſtachen	zuostâchen
zuquetzſedē	zuoquetzeten
zur	[!!]
zurczen	kurzen
zureiz	zerreiz
zurewerida	zerwerrede
zurgan	zergân
zurgāgen	zergangen
zurge	[!!]
zurgenclich	zuorganclich
zuribē	zuorîben
zurizzen	zuorizzen
zurizzenír	zuorizzener
zurluſte	zurlüste
zurn	zorn
zurnden	zurnten
zurne	zorne
zurnen	zürnen
zurnes	zürnes
zurnet	zürnet
zurnete	zürnete
zurneſ	zürnes
zurneſt	zürnest
zurni	zürne
zurnic	zornic
zurnich	zürnic
zurnigen	zornigen
zurnin	zürnen
zurnt	zurnte
zurnærinne	zürnærinne
zurrizzen	zerrîzen
zuruuari	zerwære
zurſleufe	zersleife
zustorin	zuostoeren
zut	zuht
zute	zühte
zuteilit	[!!]
zuteiltin	[!!]
zuth	[!!]
zuthlich	zuhtlich
zutige	zühtige
zutliche	zuhtlîche
zutretin	zuotreten
zutten	zühten
zutz	zuoze
zuuegingen	zweiingen
zuuene	zwêne
zuuenginge	zweiinge
zuuerſicht	zuoversiht
zuuerſiht	zuoversiht
zuuerſith	zuoversiht
zuueí	zwêne
zuuirſic	zuoversit
zuuirſicht	zuoversiht
zuuirſit	zuoversiht
zuuirſite	zuoversihte
zuuirſith	zuoversiht
zuuirſithe	zuoversihte
zuurſit	zuoversiht
zuuuene	zwêne
zuūſichte	zuoversihte
zuuͦ	zwô
zuval	zuoval
zuvarn	zuovarn
zuvelf	zweliv
zuvellē	zuovellen
zuvene	zwêne
zuvindungen	zuovindungen
zuvintniſſe	zuovindnisse
zuvirsicht	zuoversiht
zuvirſithe	zuoversihte
zuviuel	zwîvel
zuvne	zwêne
zuvo	zwô
zuvoren	zuovoren
zuvuͦre	zuovüere
zuvírſíth	zuoversiht
zuv͛ſith	zuoversiht
zuwa	zwâ
zuwaier	zweier
zuwaigere	zweiere
zuwein	zwein
zuweluen	zweliven
zuwen	[zwêne]
zuwene	zwêne
zuwi	--
zuwibil	zwîvel
zuwo	zwô
zuz	zuoze
zuze	zuoze
zuzi	süeze
zuzlíchen	suslîchen
zuzu	zuoze
zuzſín	züschen
zuêi	zwei
zuêinzich	zweinzic
zuêne	zwêne
zuíg	zwîc
zuílene	zwinele
zuínele	zwinele
zuínele:	zwinele
zuínelon	zwinelen
zuíren	zwiren
zuíuel	zwîvel
zuíuele	zwîvele
zuíuil	zwîvel
zuíuíl	zwîvel
zuíſt	zwist
zuînelero	zwinelere
zuîuelan	zwîvelen
zuîuelêta	zwîvelete
zuîuil	zwîvel
zuîuáltic	zwivaltic
zuîvelote	zwîvelete
zuſamen	[zesamen]
zuſamene	zuosamene
zuſamē	zuosamene
zuſamine	zuosamene
zuſamini	zuosamene
zuſammene	zuosamene
zuſamne	zuosamene
zuſamíne	zuosamene
zuſamíní	zuosamene
zuſchen	zwüschen
zuſin	zwüschen
zuſlache	Zusselache
zuſlahen	zuoslahen
zuſluch	zuosluoc
zuſlugen	zuosluogen
zuſmegg͛	Zuosmeckær
zuſprenget	zuosprenget
zuſpretidᵉn	zuospreiteten
zuſpretiſ	[!!]
zuſtoren	[!!]
zuſtozen	zuostôzen
zuſtoʳe	zuostoere
zuſtrouwen	zuoströuwen
zuſtunt	[!!]
zuſtuͦnt	zestunt
zuſuwe	zesewe
zuſſe	zusse
zuſſelache	Zusselache
zuſſen	zwüschen
zūge	zunge
zūgen	zungen
zūgē	zungen
zuͤ	zuo
zuͤch	zücke
zuͤcken	zücken
zuͤckt	zücket
zuͤge	züge
zuͤhet	ziuhet
zuͤhte	zühte
zuͤhteclichen	zühticlîchen
zuͤhten	zühten
zuͤhterich	zühterîche
zuͤhticlich	zühticlîche
zuͤmt	zoumte
zuͤſchen	zwischen
zuͥchtiget	zühtiget
zuͥh	ziuch
zuͥhet	ziuhet
zuͥhteclích	zühticlîche
zuͥhtegō	zühtigen
zuͦ	zuo
zuͦber	zouber
zuͦbrach	zuobrach
zuͦbreichein	zuobræchen
zuͦbrochen	zuobrochen
zuͦbrochin	zuobrochen
zuͦch	zuge
zuͦchin	zwischen
zuͦcht	zuht
zuͦchte	zühte
zuͦchvnft	zuokumft
zuͦckinde	zückente
zuͦe	zuo
zuͦeenbruͦcken	Zweinbrücken
zuͦei	zwei
zuͦeine	zwêne
zuͦene	zwêne
zuͦferſicht	zuoversiht
zuͦfluht	zuovluht
zuͦgangin	zuogangen
zuͦge	züge
zuͦgegen	zuogegen
zuͦgegine	zuogegene
zuͦgehorin	zuogehoeren
zuͦgienc	zuogienc
zuͦgin	zugen
zuͦhant	zuohant
zuͦhant;	zehant
zuͦhantz	zuohandes
zuͦhauwen	zuohouwen
zuͦhāt	zuohant
zuͦhāt;	zehant
zuͦhelle	zuohelle
zuͦhellūgi	zuohellunge
zuͦhet	ziuhet
zuͦhit	ziuhet
zuͦhouwin	zuohouwen
zuͦht	zuht
zuͦhte	zühte
zuͦhten	zühten
zuͦhtē	zühten
zuͦhtte	zühte
zuͦit	ziuhet
zuͦker	[!!]
zuͦkeres	[!!]
zuͦkumft	zuokunft
zuͦkunft	zuokunft
zuͦkunftigē	zuokünftigen
zuͦkūft	zuokunft
zuͦkuͥmft	zuokünft
zuͦlazen	zuolâzen
zuͦleſt	zuoleste
zuͦlle	zolle
zuͦme	zoume
zuͦmelon	Zumelon
zuͦn	zûn
zuͦnemunge	zuonemunge
zuͦnft	zumft
zuͦnfte	zumfte
zuͦnften	zumften
zuͦnftin	zumften
zuͦnf⸗te	zumfte
zuͦnge	zunge
zuͦngen	zungen
zuͦreckit	zuorecket
zuͦrenden	zurnten
zuͦribene	zuoribene
zuͦribenes	zuoribenes
zuͦrizen	zuorîzen
zuͦrizē	zuorîzen
zuͦrne	zürne
zuͦrnen	Zurnen
zuͦrneten	zürneten
zuͦrnte	zurnte
zuͦsamene	zuosamene
zuͦth	zuht
zuͦticheide	[!!]
zuͦtiger	[!!]
zuͦtretē	zuotreten
zuͦtretin	zuotreten
zuͦtz	zuoze
zuͦuerte	zuovarte
zuͦuerſicht	zuoversiht
zuͦuerſiht	zuoversiht
zuͦuirſicht	zuoversiht
zuͦuuͦrrenz	zuovoren
zuͦu͛ſiht	zuoversiht
zuͦv	zwô
zuͦvart	zuovart
zuͦversiht	zuoversiht
zuͦverſiht	zuoversiht
zuͦworfin	zuoworfen
zuͦys	ziuhes
zuͦz	zuoze
zuͦze	zuoze
zuͦzen	süezen
zuͦſamene	zuosamene
zuͦſamē	zuosamene
zuͦſamine	zuosamene
zuͦſamne	zuosamene
zuͦſa⸗mene	zuosamene
zuͦſcheide	zuoscheide
zuͦſchen	zwischen
zuͦſchin	zwischen
zuͦſtunt	zuostunt
zuͦſtūt	zestunt
zuͦſtūt;	zestunt
zuͦſtuͦnt	zuostunt
zuͦſ̄t	zestunt
zuͦ͛	zuo
zuͦ⁄geín	zuogein
zuᵉt	ziuhet
zuᶜhte	zuhte
zu⸗ainzich	zweinzic
zu⸗elf	zweliv
zu⸗het	ziuhet
zv	zuo
zv:	zuo
zv[...]	--
zv\ôverſiht	zuoversiht
zva	zwâ
zvai	zwei
zvainzigeſt	zweinzigest
zvall͛vor⸗derſt	zeallervorderst
zvbeiz	zuobizze
zvber	zûber
zvblasen	zuoblâsen
zvbletzet	zuobletzet
zvbletzete	zuobletzete
zvblies	zuoblies
zvbrach	zuobrach
zvbrachē	zuobrâchen
zvbraſt	zuobrast
zvbreche	zuobræche
zvbrechin	zuobrechen
zvbroch	zuobrochen
zvbrochen	zuobrochen
zvbrochē	zuobrochen
zvbruchen	zuobrochen
zvb͛	zouber
zvbᵃch	zuobrach
zvch	--
zvchen	kiuschen
zvchet	zücket
zvcht	zuht
zvchte	zuhte
zvchteclích	zühticlîche
zvchten	zühten
zvchtigen	[!!]
zvchtin	zühten
zvchtī	--
zvchtlichen	zuhtlîchen
zvchvnft	[!!]
zvckchen	zücken
zvcke	zücke
zvcker	zucker
zvckerſ	zuckers
zvcket	zücket
zvckete	zückete
zvckirmeſic	zuckermæzic
zvckiſ	zückes
zvcte	zukte
zvcten	zukten
zvctē	zukten
zvdrant	zuodrant
zvdrungē	zuodrunden
zvdrūgē	zuodrunden
zvd͛erde	[!!]
zve	zwei
zvei	zwei
zveier	zweier
zveiger	zweier
zveijnge	zweiinge
zveilf	zweliv
zvein	zwein
zveine	zwêne
zveinge	zweiinge
zveinkirchen	Zweinkirchen
zveinzec	zweinzic
zveirman	swermanne
zveitin	zweiten
zveiualdime	zwivalteme
zveiueldig	zwivaltic
zveiunge	zweiunge
zveivalt	zwivalt
zveiveldich	zweiveltic
zveivel⸗dichlige	zwivalticlîche
zvej	zwei
zvelboten	[!!]
zvelef	zweliv
zvelefe	zwelive
zvelf	zweliv
zvelfev	zweliviu
zvelfte	zwelifte
zvelfthe	zwelifte
zvelftim	zweliftem
zvelif	zwelif
zvelifte	zwelifte
zvelph	zwelif
zvelte	zwelifte
zvelue	zwelive
zvem	zwein
zven	zwêne
zvenbrucken	Zweinbrücken
zvencich	zweinzic
zvencih	zweinzic
zvencik	zweinzic
zvene	zwêne
zvenkirchen	Zweinkirchen
zvenkirhen	Zweinkirchen
zvenzic	zweinzic
zvenzich	zweinzic
zvenzig	zweinzic
zven⸗cit	zweinzic
zven⸗zic	--
zvernt	--
zver̄t	--
zveveldige	zweiveltige
zvey	zwei
zveynzich	zweinzic
zveín	zwein
zveíne	zwêne
zveî	zwei
zveîn	zwein
zveý	zwei
zveſuwe	zeswe
zveſuwen	zesewen
zveſuwē	zesewen
zveˡfboten	zwelivboten
zve⸗ne	zwêne
zvfallē	zuovallen
zvfert	zuovert
zvfielē	zuovielen
zvflecte	zuovleckete
zvflvht	zuovluht
zvfort	zuovuort
zvforte	zuovuorte
zvfortē	zuovuorten
zvfur	zuovuor
zvfure	zuovüere
zvfuret	zuovüeret
zvfurt	zuovuort
zvfurte	zuovuorte
zvfurtē	zuovuorten
zvfurtis	zuovuortes
zvgan	zuogân
zvganch	zuoganc
zvgangē	zuogangen
zvge	züge
zvgel	zügel
zvgen	zugen
zvgent	zugent
zvgeseil	zugeseil
zvget	zuogêt
zvgē	zugen
zvge⸗lovfit	--
zvgin	zugen
zvginc	zuogienc
zvging	zuogienc
zvgingē	zuogiengen
zvginthafter	tugenthafter
zvhacten	zuohacketen
zvhalt	zuohalte
zvhan	zuohant
zvhan:	zuohant
zvhant	zuohant
zvhāt	zehant
zvhe	ziuhe
zvhent	[!!]
zvhet	ziuhet
zvhis	ziuhes
zvhit	ziuhet
zvhouwē	zuohouwen
zvhowen	zuohouwen
zvhowē	zuohouwen
zvht	zuht
zvht;	zuht
zvhte	zühte
zvhtecliche	zühticlîche
zvhtegunge	zühtigunge
zvhtegvnge	[!!]
zvhtekliche	zühticlîche
zvhten	zühten
zvhtent	zuhtent
zvhtē	zühten
zvhtic	zühtic
zvhtige	[!!]
zvhtigiſtē	zühtigesten
zvhtin	zühten
zvhtloſe	zuhtlôse
zvhtmeiſt͛	zuhtmeister
zvhtpeſem	[!!]
zvh⸗tegvnge	[!!]
zvi	zwî
zvibel	zwîvel
zvibelen	zwîvelen
zvibelet	zwîvelet
zvibeleten	zwîveleten
zvibil	zwîvel
zvidegen	zwîdigen
zvier	zwîer
zvifel	zwîvel
zvifullen	zwibollen
zviht	ziuhet
zvilehen	zwilîchen
zvilehinch	zwilehinc
zvile⸗hinch	zwilehinc
zvinzich	zweinzic
zvire	zwire
zvirot	zwiret
zviualt	zwivalt
zviualtin	zwivalten
zviuel	zwîvel
zviuelen	zwîvelen
zviuelet	zwîvelet
zviue⸗le	--
zviuil	zwîvel
zviuilwā	zwîvelwân
zviule	zwîvele
zviuílín	zwîvelen
zvivalti	zwivalte
zvivel	zwîvel
zvivelotin	zwîveleten
zvivil	zwîvel
zviſchen	zwischen
zviſkin	zwischen
zviſt	zwist
zvi⸗vel	zwîvel
zvkram	zuokram
zvkte	zukte
zvkumft	zuokumft
zvkūft	zuokumft
zvkuͦmf	zuokumft
zvkuͦmft	zuokumft
zvkvmft	zuokumft
zvkvmfte	zuokumfte
zvkvnft	zuokunft
zvlan	zuolâzen
zvleidis	zuoleites
zvloufen	zuoloufen
zvm	[!!]
zvmale	zuomâle
zvn	zûn
zvnamen	zuonamen
zvnamín	zuonamen
zvnche	zunge
zvnden	zünden
zvndet	zündet
zvndærinne	züntærinne
zvne	zûne
zvnen	ziunen
zvneſ	sunes
zvng	zunge
zvnge	zunge
zvngelers	züngelærs
zvngelær	züngelær
zvngen	zungen
zvngē	zungen
zvngin	zungen
zvngon	zungen
zvngrich͛	[!!]
zvngvn	zungen
zvngín	zungen
zvnt	zunte
zvnten	zunden
zvn⸗ge	zunge
zvn⸗gen	zungen
zvo	zwô
zvoch	zôch
zvolfbode	zwelivbote
zvolfboten	zwelifboten
zvpflicht	zuopflihte
zvquexet	zuoquetzet
zvr	zuo
zvreiz	zuoreiz
zvrfloz	zuorvlôz
zvrgan	zuorgân
zvrgat	zuorgât
zvriben	zuoriben
zvringiſte	zornigeste
zvriszen	zuorizzen
zvrizzē	zuorizzen
zvriſſen	zuorizzen
zvrn	zürnen
zvrnde	zurnte
zvrnden	zurnten
zvrne	zürne
zvrnen	zürnen
zvrnent	zürnente
zvrnes	zürnes
zvrnet	zürnet
zvrnit	zürnet
zvrnte	zurnte
zvrnvnge	zornunge
zvrnærinn	zürnærinne
zvrnærín	zürnærinne
zvroufte	zuoroufete
zvrslagē	zerslagen
zvrsliffe	zersliffen
zvrspielt	zerspielt
zvrūnen	zuorunnen
zvrz	zuoze
zvrínnet	zuorinnet
zvrſtiez	zerstiez
zvsamne	zuosamene
zvschiet	zuoschiet
zvschifertē	zuoschiverten
zvschiīt	zuoscheit
zvschit	zuoschîtet
zvschlizzē	zuoslizzen
zvschriet	zuoschriet
zvschrietē	zuoschrieten
zvschroten	zuoschrôten
zvschrotē	zuoschrôten
zvscriet	zuoschriet
zvslagē	zuoslagen
zvsliffen	zuosliffen
zvslizzen	zuoslizzen
zvslizzē	zuoslizzen
zvsluc	zuosluoc
zvsnide	zuosnîden
zvsnidē	zuosnîden
zvsniete	zuosnite
zvsniten	zuosniten
zvspaldē	zuospalten
zvspalt	zuospalt
zvspilt	zuospielt
zvspranc	zuospranc
zvsprūgen	zuosprungen
zvste	zuostê
zvstoret	zuostoeret
zvstort	zuostôrt
zvstoup	zuostoup
zvstroubet	zuostroubet
zvstubet	zuostiubet
zvswalt	zuoswalt
zvswelte	zuoswelte
zvt	ziuhet
zvtin	--
zvtrant	zuotrant
zvtreip	zuotreip
zvtretet	zuotretet
zvtriben	zuotriben
zvtribē	zuotriben
zvuerlaz	Zuerlaz
zvuerſiht	zuoversiht
zvv	zuo
zvvai	zwei
zvvarn	zuovarn
zvvart	zuovart
zvvelf	zweliv
zvvelfte	zwelifte
zvverſiht	zuoversiht
zvvi	zwei
zvvir	zwire
zvvirſiht	zuoversiht
zvviuel	zwîvel
zvviſcen	zwischen
zvvo	zwô
zvv͛ſchit	zuoversiht
zvwei	zwei
zvy	zuo
zvz	zuoze
zvzart	zuozart
zvzogen	zuozogen
zvíuel	zwîvel
zvíuil	zwîvel
zvível	zwîveles
zvívelich	zwîvelic
zvîualheîte	zwîvelheite
zvîueleten	zwîveleten
zvô	zwô
zvſamen	zuosamene
zvſamene	zuosamene
zvſame⸗ne	zuosamene
zvſamne	zuosamene
zvſam⸗ne	zesamene
zvſchen	zwüschen
zvſluk	zuosluoc
zvſpilden	zuospielten
zvſpreit	zuospreit
zvſpreít	zuospreit
zvſtoRet	[!!]
zvſtoRten	[!!]
zvſtoren	zuostoeren
zvſtoret	zuostoeret
zvſtunt	[!!]
zvſtvnt	zestunt
zvſuwe	zeswe
zvſſen	zwüschen
zv̂	zuo
zv̂gen	zugen
zv̂n⸗gen	zungen
zv̂o	zwô
zv̂z	zuoze
zv̄	zuo
zv̄ge	zunge
zv̄gē	zungen
zvͤ	zuo
zvͤch	zücke
zvͤg	züge
zvͤge	züge
zvͤgeſt	zügest
zvͤhe	ziuhe
zvͤhten	zühten
zvͤlí	Ziuli
zvͤne	ziune
zvͤr⸗nen	zürnen
zvͥ	zuo
zvͥckit	zücket
zvͥge	zuge
zvͥgel	zügel
zvͥhet	ziuhet
zvͥhte	zühte
zvͥhtecliche	zühticlîche
zvͥhít	ziuhet
zvͥnen	ziunen
zvͥrnen	zürnen
zvͥrnín	zürnen
zvͦ	zuo
zvͦbrach	zuobrach
zvͦbrant	zuobrant
zvͦbreche	zuobræche
zvͦbrochen	zuobrochen
zvͦbrochene	zuobrochene
zvͦbvͦze	zuobuoze
zvͦchet	zücket
zvͦckete	[!!]
zvͦdruct	zuodrukt
zvͦe	zuo
zvͦekvnft	zuokumft
zvͦflvht	zuovluht
zvͦganc	zuoganc
zvͦgen	zugen
zvͦgengliche	zuoganclîche
zvͦgin	zugen
zvͦhant	zuohant
zvͦhe	ziehe
zvͦhet	[!!]
zvͦhte	zühte
zvͦkinen	zuokînen
zvͦkumft	zuokunft
zvͦkvnfte	zuokumfte
zvͦlide	zuolide
zvͦndet	zündet
zvͦngen	zungen
zvͦngín	zungen
zvͦo	zwô
zvͦreiz	zuoreiz
zvͦrgat	zergât
zvͦrgenglich	zuorganclich
zvͦrgie	zergie
zvͦriten	zuorîten
zvͦrizin	zuorîzen
zvͦrizzen	zuorizzen
zvͦrizzin	zuorizzen
zvͦrnede	zürnete
zvͦschit	zerschîtet
zvͦt	zuo
zvͦteilte	zuoteilte
zvͦteyle	zuoteile
zvͦuerſiht	zuoversiht
zvͦuerſîht	zuoversiht
zvͦu͛ſicht	[!!]
zvͦu͛ſichít	zuoversiht
zvͦversiht	zuoversiht
zvͦverſicht	zuoversiht
zvͦverſiht	zuoversiht
zvͦverſihte	zuoversihte
zvͦv͛ſiht	zuoversiht
zvͦz	zuoze
zvͦſamene	zuosamene
zvͦſamine	zuosamene
zvͦſammene	zesamene
zvͦſammē	zesamen
zvͦſampt	zuosament
zvͦſāmene	zesamene
zvͦſlagin	zuoslagen
zvͦſlahe	zuoslahe
zvͦſlan	zuoslân
zvͦſluͦge	zuoslüege
zvͦſnietin	zuosniten
zvͦſtoret	zuostoeret
zvͦſtoͤzze	zuostôze
zvͦſtvnden	zuostunden
zvͦſtvnt	zuostunt
zv⸗	zuo
zv⸗genclich	zuoganclich
zv⸗vai	zwei
zw	ze
zw[...]	--
zwa	zwâ
zwae	zwei
zwager	zweier
zwai	zwei
zwaie	zwei
zwaien	[!!]
zwaier	zweier
zwaiger	zweier
zwain	zwein
zwaincec	zweinzic
zwaincech	zweinzic
zwaincihc	zweinzic
zwaintzig	zweinzic
zwainzchc	zweinzic
zwainzec	zweinzic
zwainzech	zweinzic
zwainzek	zweinzic
zwainzic	zweinzic
zwainzich	zweinzic
zwainziguſtē	zweinzigesten
zwainziguſtī	zweinzigesten
zwainziguſtv̄	zweinzigesten
zwainzik	zweinzic
zwair	zweier
zwaizig	zweinzic
zwaī	zwein
zwai͛	zweier
zwaiⁿzec	zweinzic
zwaj	zwei
zwaj̇	zwei
zwan	zwêne
zwangen	twungen
zwanzic	zweinzic
zwanzih	zweinzic
zwar	[!!]
zwartze	swarze
zwarzv	swarziu
zway	zwei
zwaẏ	zwei
zwaí	zwei
zwaíer	zweier
zwaín	zwein
zwaíntzikch	zweinzic
zwaínzech	zweinzic
zwaínzig	zweinzic
zwaínzik	zweinzic
zwaínzíc	zweinzic
zwaír	zweier
zwaíung	zweiunge
zwaîger	zweier
zwaᵉi	zwei
zwaᵉier	zweier
zwaᵉí	zwei
zwaᵉínzec	zweinzic
zwaᵉínzic	zweinzic
zwe	zwei
zwebel	swebel
zween	zwein
zwefel	zwîvel
zweger	zweier
zwehen	[!!]
zweidin	zweieten
zweie	[!!]
zweieden	zweieten
zweiende	zweiente
zweiē	zweien
zweifel	zwîvel
zweifelte	[!!]
zweifelunge	[!!]
zweifelvnge	zwîvelunge
zweiflichen	zwîvellîchen
zweigen	zweien
zweiger	zweier
zweighende	zweiende
zweigingin	zweiingen
zweigir	zweier
zweig͛	zweier
zweiieric	zweijæric
zweiir	zweier
zweijere	zweiere
zweijnge	zweiinge
zweijngen	zweiingen
zweijr	zweier
zweij̇nge	zweiinge
zweilf	zweliv
zweilfte	zwelifte
zwein?	zwein
zweinbrucke	Zweinbrücken
zweinbrucken	Zweinbrücken
zweinbruge	Zweinbrücke
zweinbruͤcke	Zweinbrücken
zweine	zwêne
zweinge	zweiinge
zweingen	zweiingen
zweingin	zweiingen
zweinzech	zweinzic
zweinzeh[..]	zweinzic
zweinzich	zweinzic
zweinzig	zweinzic
zweinzigiſtem	zweinzigestem
zweinzik	zweinzic
zweinzíc	zweinzic
zweir	zweier
zweire	zweier
zweirzhem	Swirzheim
zweitel	zweiteil
zweiueldigen	zweiveltigen
zweiunge-	zweiunge
zweiūge	zweiunge
zweivel	zwîvel
zweiveldiger	zweivaltiger
zweivelt	zwîvelt
zweī	zwein
zweībrvcgen	Zweinbrücken
zweīzic	zweinzic
zwei⸗ent	zweient
zwei⸗felten	zwîvelten
zwej	zwei
zwej̇	zwei
zwel	zweliv
zwelbode	zwelivbote
zwelef	zweliv
zwelefe	zwelive
zwelen	twelen
zwelephpoten	zwelivboten
zweleue	zwelive
zweleuen	zweliven
zweleve	zwelife
zwelf	zwelif
zwelfbode	zwelivbote
zwelfboden	zwelivboten
zwelfbote	zwelifbote
zwelfboten	zwelivboten
zwelfbotē	zwelifboten
zwelfbotin	zwelivboten
zwelfboton	zwelivboten
zwelfbotten	zwelivboten
zwelfbottē	zwelivboten
zwelfbotín	zwelivboten
zwelfbo⸗ten	[!!]
zwelfden	zweliften
zwelfe	zwelive
