sigle,dialect,period,corpus
F310,-,"15,2",ReF
F312,-,"15,2",ReF
F313,-,"15,2",ReF
F315,-,"15,2",ReF
F317,-,"16,1",ReF
F319,-,"16,1",ReF
F321,-,"16,1",ReF
F322,-,"16,2",ReF
F324,-,"16,2",ReF
F326,-,"17,1",ReF
F327,-,"17,1",ReF
F329,-,"14,2",ReF
F332,-,"15,1",ReF
