sigle,title,period,dialect,typecode,ANNIS-Gruppe,Datierung (Text),Datierung (Hs.),Textbereich,Textsorte,Textart,Sprache (Hs.)/ Schreibort
M091,M091: Benediktbeurer Glaube u. Beichte II</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,11,um 1100,Religion,"Credo, Beichte",P,"bairisch, alemannisch"
M092,M092: Benediktbeurer Glaube u. Beichte III</h4>,12_2,bairalem,PV-X,12_2-bairalem-PV-X,12,um/nach 1200,Religion,"Credo, Beichte",P,"bairisch, alemannisch"
M093,M093: St. Galler Glaube u. Beichte I</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,11,um 1100,Religion,"Credo, Beichte",P,alemannisch
M094,M094: St. Galler Glaube u. Beichte II</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,"12,1",–,Religion,"Credo, Beichte",P,alemannisch
M095,M095: St. Galler Glaube u. Beichte III</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,11,um 1100,Religion,"Credo, Beichte",P,alemannisch
M096,M096: Münchner Glauben und Beichte (A)</h4>,12_2,bair,P-X,12_2-bair-P-X,12?,"12,E; um 1200",Religion,"Credo, Beichte",P,bairisch
M097,M097: Wessobrunner Glaube u. Beichte I</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,11,um 1100,Religion,"Credo, Beichte",P,bairisch
M098,M098: Wessobrunner Glaube u. Beichte II</h4>,12_2,bair,P-X,12_2-bair-P-X,12?,–,Religion,"Credo, Beichte",P,bairisch
M099,M099: Kremsmünsterer Glaube und Beichte</h4>,12_2,bair,P-X,12_2-bair-P-X,–,–,Religion,"Credo, Beichte",P,bairisch/ Kremsmünster (?)
M100,M100: Graf Rudolf</h4>,13_1,thurhess,PV-G,13_1-thurhess-PV-G,wohl zwischen ca. 1170 und 1187-90,"13,1V",Poesie,frühhöfischer Roman,V,hessisch-thüringisch
M101,M101: Grazer Hagelsegen</h4>,12_2,bair,P-X,12_2-bair-P-X,–,–,"Religion, Alltag",Segen,P,oberdeutsch/ Seckau
M102,M102: Münchner Halssegen</h4>,13_1,obd,PV-X,13_1-obd-PV-X,12?,"13,A","Religion, Alltag",Segen,P,oberdeutsch
M103,M103: Der arme Hartmann: Rede vom Glauben</h4>,13_1,thurhess,PV-X,13_1-thurhess-PV-X,um 1140/60,"13,A","Religion, Poesie",Reimtheologie,V,mitteldeutsch
M104,M104: Zürcher Hausbesegnung</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,10 (?),–,"Religion, Poesie",Segen,V,alemannisch
M105,"M105: Heinrich von Rugge, Leich</h4>",12_2,alem,PV-X,12_2-alem-PV-X,–,"12,E (Schweikle, Sp. 870); (Glauche, S. 114)",Literatur,–,V,alemannisch/ Chur
M106,"M106: Heinrich, Reinhart Fuchs (S)</h4>",13_1,alem,PV-X,13_1-alem-PV-X,–,"13,A (Schneider, S. 109)",Poesie,frühhöfische Epik,V,westniederalemannisch (elsässisch mit bairischem Einschlag)
M107G,M107G: Heinrich: 'Litanei' (G)</h4>,12_2,bair,PV-G,12_2-bair-PV-G,um 1160,"12,2",Religion,Heiligenlegende,V,bairisch
M107S,M107S: Heinrich: 'Litanei' (S)</h4>,13_1,thurhess,PV-X,13_1-thurhess-PV-X,um 1160,"13,A","Religion, Poesie",Heiligenlitanei,V,hessisch-thüringisch
M108M,M108M: Herzog Ernst A (M)</h4>,13_1,wmd,PV-X,13_1-wmd-PV-X,um 1160/70,"13,1V",Poesie,frühhöfische Epik,V,rheinfränkisch
M108P,M108P: Herzog Ernst A (P)</h4>,13_1,wmd,PV-X,13_1-wmd-PV-X,um 1160/70,"13,2V",Poesie,frühhöfische Epik,V,"mitteldeutsch, moselfränkisch"
M108S,M108S: Herzog Ernst A (S)</h4>,13_2,md,V-X,13_2-md-V-X,um 1160/70,"13,4V",Poesie,frühhöfische Epik,V,"ostfränkisch, omitteldeutsch"
M109,M109: Himmel und Hölle</h4>,11_2-12_1,obd,PV-G,11_2-12_1-obd-PV-G,11?,12,Religion,"Predigt, Beichtrede",P,ostfränkisch
M110,M110: Daz himelrîche</h4>,12_2,bair,V_1-X,12_2-bair-V_1-X,–,–,"Religion, Poesie",Bibeldichtung,V,bairisch
M111,M111: Himmlisches Jerusalem</h4>,12_2,bair,V_3-X,12_2-bair-V_3-X,um 1140,"12,4V; um 1200 - 13,A","Religion, Poesie",Reimtheologie,V,bairisch
M112,M112: Die Hochzeit</h4>,13_1,bair,PV-G,13_1-bair-PV-G,12/2D,um 1200 / 13/A,"Religion, Poesie",allegorische Dichtung,V,bairisch
M113,M113: St. Trudperter Hohes Lied (A)</h4>,13_1,alem,PV-G,13_1-alem-PV-G,um 1160,"13,1V",Religion,Allegorese,P,"bairisch, alemannisch"
M113Y,M113Y: St. Trudperter Hohelied (A)</h4>,13_1,alem,PV-X,13_1-alem-PV-X,–,"13,1V",Religion,–,P,alemannisch
M114,M114: Idsteiner Sprüche der Väter</h4>,13_1,wmd,PV-X,13_1-wmd-PV-X,–,"13,M","Religion, Poesie",religiöse Unterweisung,V,rheinfränkisch
M115,M115: Baumgartenberger Johannes Baptista</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,"12,1",–,"Religion, Poesie",Heiligenlegende,V,bairisch
M116,M116: Vorauer Joseph (Bücher Mosis 2)</h4>,12_2,bair,V_2-X,12_2-bair-V_2-X,–,–,"Religion, Poesie",Bibeldichtung,V,bairisch
M117,M117: Erfurter Judeneid</h4>,12_2,omd_ofrk,PV-X,12_2-omd_ofrk-PV-X,12,"um 1200/13,A",Recht,Eid,P,mitteldeutsch
M118,M118: Pfälzer Judeneid</h4>,13_1,wmd,PV-X,13_1-wmd-PV-X,"12-13,A",–,Recht,Eid,P,(süd)rheinfränkisch
M119,M119: Die Jüngere Judith</h4>,12_2,bair,V_2-X,12_2-bair-V_2-X,um 1140?,"12,4V",Religion,Bibeldichtung,V,bairisch (?)
M120,"M120: Jüngstes Gericht, Hamburger</h4>",13_1,wmd,PV-X,13_1-wmd-PV-X,"12,1(?)","13,M",Religion,Bibeldichtung,V,(süd)rheinfränkisch
M121F,"M121F: Kaiserchronik A (F: Fragmente Fr, Mz)</h4>",12_2,bair,V_Kchr1-X,12_2-bair-V_Kchr1-X,um 1140/50 (?),–,"Wissen(-schaft), Religion",Legenden- und Geschichtsdichtung,V,bairisch-ostalemannisch
M121G,"M121G: Kaiserchronik A (G: Fragmente Gr, I)</h4>",12_2,bair,V_Kchr1-X,12_2-bair-V_Kchr1-X,um 1140/50 (?),"13,1V","Wissen(-schaft), Religion",Legenden- und Geschichtsdichtung,V,bairisch-ostalemannisch
M121K,M121K: Kaiserchronik A (Fragment K)</h4>,12_2,bair,V_Kchr1-X,12_2-bair-V_Kchr1-X,um 1140/50 (?),–,"Wissen(-schaft), Religion",Legenden- und Geschichtsdichtung,V,bairisch
M121N,M121N: Kaiserchronik A (Fragment N)</h4>,13_1,alem,PV-X,13_1-alem-PV-X,um 1140/50 (?),–,"Wissen(-schaft), Religion",Legenden- und Geschichtsdichtung,V,alemannisch
M121S,M121S: Kaiserchronik A (Fragment S)</h4>,13_1,bair,V-X,13_1-bair-V-X,um 1140/50 (?),"13,1D","Wissen(-schaft), Religion",Legenden- und Geschichtsdichtung,V,bairisch
M121V,M121V: Kaiserchronik A (V) [Ausschnitt]</h4>,12_2,bair,PV-G,12_2-bair-PV-G,–,–,"Wissen(-schaft), Religion",Legenden- und Geschichtsdichtung,V,bairisch
M121W,M121W: Kaiserchronik A (Fragment W)</h4>,13_1,bair,V-X,13_1-bair-V-X,um 1140/50 (?),"13,A","Wissen(-schaft), Religion",Legenden- und Geschichtsdichtung,V,bairisch
M121Y,M121Y: Kaiserchronik A (V)</h4>,12_2,bair,V_Kchr-X,12_2-bair-V_Kchr-X,um 1140/50 (?),"12,4V","Wissen(-schaft), Religion",Legenden- und Geschichtsdichtung,V,bairisch
M122,M122: Kalender mit Urbareinträgen</h4>,13_1,bair,P-X,13_1-bair-P-X,–,"12,E [Kalender]; 13A [Urbareinträge] (Schneider 2005, S. 194)","Wissen(-schaft), Alltag",–,P,bairisch
M123,"M123: Kalendernoten, Windberger</h4>",12_2,bair,P-X,12_2-bair-P-X,–,"12,4V (Schneider S. 36); wahrscheinlich 1174 (Klein, Sp. 1193, nach Kirchert I, S. 60-63).","Wissen(-schaft), Alltag",–,P,mittelbairisch (nordöstlich)
M124,M124: Komputistische Notiz</h4>,12_2,alem,PV-X,12_2-alem-PV-X,–,–,"Wissen(-schaft), Alltag",–,P,oberrheinisch
M125,"M125: Kräuterbuch, Innsbrucker Fassung</h4>",12_2,bair,P-X,12_2-bair-P-X,–,"12,3V (Schnell, S. 199)",Wissen(-schaft),medizinisch-magische Praktik,P,bairisch
M126,"M126: Kräuterbuch, Prüller Fassung</h4>",11-12_1,obd,PV-X,11-12_1-obd-PV-X,–,1143-1147,Wissen(-schaft),Kräuterbuch,P,bairisch/  Benediktinerkloster Prüll
M127,M127: Leis</h4>,12_2,obd,PV-X,12_2-obd-PV-X,–,–,Religion,Kirchenlied,P,oberdeutsch
M128,M128: Leis Troyes 1</h4>,11-12_1,rhfrhess,PV-X,11-12_1-rhfrhess-PV-X,_,Werkdatierung,Religion,Kirchenlied,P,rheinfränkisch (frz. Graphien)
M129,M129: Leis Troyes 2</h4>,12_2,wmd,PVU-X,12_2-wmd-PVU-X,–,"12 (Catalogue Général, S. 279); 12-13 (Hüffer, S. 99). pars secunda und tertia der Vita: Januar und Februar 1147 (Hüffer, S. 75)",Religion,Kirchenlied,P,oberdeutsch
